nam,cod_depto,anio,pob,var,muj,vivpart,vivtotal,sup,ind_masc,dens_pob,TMI,TGF,TBN,TBM,TCV,Mat1ria,Pred_LR,MAPE_LR,MSE_LR,RMSE_LR,PredRegTree,MAPE_RT,MSE_RT,RMSE_RT,Pred_RF,MSE_RF,RMSE_RF,MAPE_RF,Pred_LGB,MSE_LGB,RMSE_LGB,MAPE_LGB
Merlo,6539,2022,580806.0,281098.0,298729.0,180037.0,49.0,212.25,94.1,2736.42,7.9,1.89,9.7,8.8,0.899,1767473.0,606506,4.42,660000000.0,25700.0,528494,9.0,2736545344,52312.0,475189.0,11154868307.892096,105616.61,18.184,463112.0,13851799173.444448,117693.66666666669,20.26385172788619
Merlo,6539,2010,528494.0,259417.0,269077.0,147230.0,59.0,212.25,96.4,2489.96,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
Moreno,6560,1991,287715.0,143364.0,144351.0,,,226.81,99.3,1268.53,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Moreno,6560,2001,380503.0,188392.0,192111.0,108521.0,58.0,226.81,98.1,1677.63,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
Moreno,6560,2010,452505.0,224291.0,228214.0,129573.0,52.0,226.81,98.3,1995.08,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
Moreno,6560,2022,574374.0,280118.0,293251.0,185037.0,69.0,226.81,95.5,2532.4,7.9,1.89,9.7,8.8,0.899,1767473.0,548507,4.5,669000000.0,25866.3,452505,21.2,14852053161,121869.0,389610.0,34137565713.331596,184763.54,32.168,373574.0,40320506133.44445,200799.6666666667,34.959741678186454
Morón,6568,1991,643553.0,311351.0,332202.0,,,67.1,93.7,9590.95,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Morón,6568,2010,321109.0,153129.0,167980.0,117321.0,75.0,67.1,91.2,4785.53,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
Morón,6568,2001,309380.0,147030.0,162350.0,108458.0,110.0,67.1,90.6,4610.73,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
Morón,6568,2022,334178.0,156891.0,175565.0,141866.0,74.0,67.1,89.4,4980.3,7.9,1.89,9.7,8.8,0.899,1767473.0,336747,0.77,6600000.0,2569.7,321109,3.9,170798761,13069.0,381258.0,2216532991.2049007,47080.07000000001,14.088,424681.0,8190732673.7777815,90502.66666666669,27.082173771662614
Quilmes,6658,1991,511234.0,248766.0,262468.0,,,111.77,94.8,4573.98,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Quilmes,6658,2001,518788.0,250577.0,268211.0,159329.0,102.0,111.77,93.4,4641.57,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
Quilmes,6658,2010,582943.0,281928.0,301015.0,182243.0,97.0,111.77,93.7,5215.56,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
Quilmes,6658,2022,636026.0,304299.0,329672.0,221757.0,94.0,111.77,92.3,5690.49,7.9,1.89,9.7,8.8,0.899,1767473.0,668483,5.1,1050000000.0,32457.0,582943,8.3,2817804889,53083.0,544713.0,8338105973.032897,91313.22999999998,14.357,537655.0,9676853641.0,98371.0,15.46650608622918
San Fernando,6749,2022,172524.0,81719.0,89879.0,62326.0,74.0,1307.01,90.9,132.0,7.9,1.89,9.7,8.8,0.899,1767473.0,179385,3.98,47100000.0,6861.3,151131,12.4,457660449,21393.0,155854.0,277872563.6401003,16669.51000000001,9.662,153045.0,379444427.11111146,19479.333333333343,11.29079625636627
San Fernando,6749,2010,163240.0,78645.0,84595.0,51926.0,66.0,1307.01,93.0,124.9,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
San Fernando,6749,2001,151131.0,72787.0,78344.0,46530.0,54.0,1307.01,92.9,115.63,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
San Fernando,6749,1991,144763.0,70415.0,74348.0,,,1307.01,94.7,110.76,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
San Isidro,6756,2001,291505.0,137430.0,154075.0,102120.0,84.0,63.7,89.2,4576.22,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
San Isidro,6756,2022,298777.0,139818.0,157584.0,121246.0,78.0,63.7,88.7,4690.38,7.9,1.89,9.7,8.8,0.899,1767473.0,294708,1.36,16600000.0,4068.3,292878,2.0,34798201,5899.0,293647.0,26319875.484099787,5130.289999999979,1.717,294469.0,18561736.111110944,4308.333333333314,1.4419896221373514
San Isidro,6756,2010,292878.0,138407.0,154471.0,107619.0,95.0,63.7,89.6,4597.77,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
San Isidro,6756,1991,299023.0,142342.0,156681.0,,,63.7,90.8,4694.24,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
